"","Name"
"311",">hsa-miR-4638-3p MIMAT0019696"
"312",">hsa-miR-214-5p MIMAT0004564"
"313",">hsa-miR-513b-3p MIMAT0026749"
"314",">hsa-miR-6500-3p MIMAT0025455"
"315",">hsa-miR-1296-5p MIMAT0005794"
"316",">hsa-miR-635 MIMAT0003305"
"317",">hsa-miR-6892-5p MIMAT0027684"
"318",">hsa-miR-328-3p MIMAT0000752"
"319",">hsa-miR-372-5p MIMAT0026484"
"320",">hsa-miR-1291 MIMAT0005881"
"321",">hsa-miR-3912-3p MIMAT0018186"
"322",">hsa-miR-190b MIMAT0004929"
"323",">hsa-miR-4673 MIMAT0019755"
"324",">hsa-miR-885-3p MIMAT0004948"
"325",">hsa-miR-6075 MIMAT0023700"
"326",">hsa-miR-495-5p MIMAT0022924"
"327",">hsa-miR-4759 MIMAT0019905"
"328",">hsa-miR-141-5p MIMAT0004598"
"329",">hsa-miR-4484 MIMAT0019018"
"330",">hsa-miR-643 MIMAT0003313"
"331",">hsa-miR-4676-3p MIMAT0019759"
"332",">hsa-miR-3169 MIMAT0015044"
"333",">hsa-miR-4735-5p MIMAT0019860"
"334",">hsa-miR-4756-3p MIMAT0019900"
"335",">hsa-miR-1908-5p MIMAT0007881"
"336",">hsa-miR-2277-3p MIMAT0011777"
"337",">hsa-miR-3162-5p MIMAT0015036"
"338",">hsa-miR-551b-3p MIMAT0003233"
"339",">hsa-miR-5739 MIMAT0023116"
"340",">hsa-miR-6893-5p MIMAT0027686"
"341",">hsa-miR-548ae-3p MIMAT0018954"
"342",">hsa-miR-6821-3p MIMAT0027543"
"343",">hsa-miR-378i MIMAT0019074"
"344",">hsa-miR-4539 MIMAT0019082"
"345",">hsa-miR-323b-5p MIMAT0001630"
"346",">hsa-miR-518a-5p MIMAT0005457"
"347",">hsa-miR-608 MIMAT0003276"
"348",">hsa-miR-6514-5p MIMAT0025484"
"349",">hsa-miR-3615 MIMAT0017994"
"350",">hsa-miR-770-5p MIMAT0003948"
"351",">hsa-miR-3621 MIMAT0018002"
"352",">hsa-miR-4508 MIMAT0019045"
"353",">hsa-miR-6839-3p MIMAT0027581"
"354",">hsa-miR-4698 MIMAT0019793"
"355",">hsa-miR-4521 MIMAT0019058"
"356",">hsa-miR-33a-5p MIMAT0000091"
"357",">hsa-miR-1287-5p MIMAT0005878"
"358",">hsa-miR-4650-5p MIMAT0019713"
"359",">hsa-miR-154-5p MIMAT0000452"
"360",">hsa-miR-6857-3p MIMAT0027615"
"361",">hsa-miR-449b-3p MIMAT0009203"
"362",">hsa-miR-3617-3p MIMAT0022966"
"363",">hsa-miR-4253 MIMAT0016882"
"364",">hsa-miR-216b-5p MIMAT0004959"
"365",">hsa-miR-6817-3p MIMAT0027535"
"366",">hsa-miR-1226-3p MIMAT0005577"
"367",">hsa-miR-127-3p MIMAT0000446"
"368",">hsa-miR-5004-3p MIMAT0021028"
"369",">hsa-miR-2681-5p MIMAT0013515"
"370",">hsa-miR-23b-3p MIMAT0000418"
"371",">hsa-miR-3613-5p MIMAT0017990"
"372",">hsa-miR-5096 MIMAT0020603"
"373",">hsa-miR-3614-5p MIMAT0017992"
"374",">hsa-miR-6779-3p MIMAT0027459"
"375",">hsa-miR-718 MIMAT0012735"
"376",">hsa-miR-4718 MIMAT0019831"
"377",">hsa-miR-98-3p MIMAT0022842"
"378",">hsa-miR-325 MIMAT0000771"
"379",">hsa-miR-6795-3p MIMAT0027491"
"380",">hsa-miR-5195-5p MIMAT0021126"
"381",">hsa-miR-6501-5p MIMAT0025458"
"382",">hsa-miR-4520-5p MIMAT0019235"
"383",">hsa-miR-4774-3p MIMAT0019930"
"384",">hsa-miR-4323 MIMAT0016875"
"385",">hsa-miR-4750-3p MIMAT0022979"
"386",">hsa-miR-4665-5p MIMAT0019739"
"387",">hsa-miR-302a-3p MIMAT0000684"
"388",">hsa-miR-6790-3p MIMAT0027481"
"389",">hsa-miR-148b-5p MIMAT0004699"
"390",">hsa-miR-3129-5p MIMAT0014992"
"391",">hsa-miR-4299 MIMAT0016851"
"392",">hsa-miR-3972 MIMAT0019357"
"393",">hsa-miR-5197-5p MIMAT0021130"
"394",">hsa-miR-1343-5p MIMAT0027038"
"395",">hsa-miR-3960 MIMAT0019337"
"396",">hsa-miR-4303 MIMAT0016856"
"397",">hsa-miR-3132 MIMAT0014997"
"398",">hsa-miR-31-5p MIMAT0000089"
"399",">hsa-miR-541-3p MIMAT0004920"
"400",">hsa-miR-518f-3p MIMAT0002842"
"401",">hsa-miR-6825-3p MIMAT0027551"
"402",">hsa-miR-126-5p MIMAT0000444"
"403",">hsa-miR-6770-3p MIMAT0027441"
"404",">hsa-miR-4420 MIMAT0018933"
"405",">hsa-miR-1258 MIMAT0005909"
"406",">hsa-miR-488-5p MIMAT0002804"
"407",">hsa-miR-3138 MIMAT0015006"
"408",">hsa-miR-4662b MIMAT0019736"
"409",">hsa-miR-6881-3p MIMAT0027663"
"410",">hsa-miR-3142 MIMAT0015011"
"411",">hsa-miR-6775-3p MIMAT0027451"
"412",">hsa-miR-6864-5p MIMAT0027628"
"413",">hsa-miR-6721-5p MIMAT0025852"
"414",">hsa-miR-6782-3p MIMAT0027465"
"415",">hsa-miR-7106-5p MIMAT0028109"
"416",">hsa-miR-139-3p MIMAT0004552"
"417",">hsa-miR-554 MIMAT0003217"
"418",">hsa-miR-491-3p MIMAT0004765"
"419",">hsa-miR-4778-3p MIMAT0019937"
"420",">hsa-miR-4659a-5p MIMAT0019726"
"421",">hsa-miR-6882-3p MIMAT0027665"
"422",">hsa-miR-4261 MIMAT0016890"
"423",">hsa-miR-6754-5p MIMAT0027408"
"424",">hsa-miR-376c-3p MIMAT0000720"
"425",">hsa-miR-6826-3p MIMAT0027553"
"426",">hsa-miR-6867-3p MIMAT0027635"
"427",">hsa-miR-30b-5p MIMAT0000420"
"428",">hsa-miR-5687 MIMAT0022478"
"429",">hsa-miR-9-3p MIMAT0000442"
"430",">hsa-miR-6858-3p MIMAT0027617"
"431",">hsa-miR-4697-5p MIMAT0019791"
"432",">hsa-miR-2681-3p MIMAT0013516"
"433",">hsa-miR-3684 MIMAT0018112"
"434",">hsa-miR-634 MIMAT0003304"
"435",">hsa-miR-208a-5p MIMAT0026474"
"436",">hsa-miR-567 MIMAT0003231"
"437",">hsa-miR-3191-3p MIMAT0015075"
"438",">hsa-miR-4524b-5p MIMAT0022255"
"439",">hsa-miR-6726-5p MIMAT0027353"
"440",">hsa-miR-6797-3p MIMAT0027495"
"441",">hsa-miR-2052 MIMAT0009977"
"442",">hsa-miR-1914-5p MIMAT0007889"
"443",">hsa-miR-330-5p MIMAT0004693"
"444",">hsa-miR-3197 MIMAT0015082"
"445",">hsa-miR-139-5p MIMAT0000250"
"446",">hsa-miR-6761-5p MIMAT0027422"
"447",">hsa-miR-941 MIMAT0004984"
"448",">hsa-miR-4795-5p MIMAT0019968"
"449",">hsa-miR-181b-3p MIMAT0022692"
"450",">hsa-miR-301a-5p MIMAT0022696"
"451",">hsa-miR-5047 MIMAT0020541"
"452",">hsa-miR-548ap-3p MIMAT0021038"
"453",">hsa-miR-571 MIMAT0003236"
"454",">hsa-miR-492 MIMAT0002812"
"455",">hsa-miR-6855-3p MIMAT0027611"
"456",">hsa-miR-340-3p MIMAT0000750"
"457",">hsa-miR-3160-3p MIMAT0015034"
"458",">hsa-miR-4742-5p MIMAT0019872"
"459",">hsa-miR-4446-5p MIMAT0019233"
"460",">hsa-miR-126-3p MIMAT0000445"
"461",">hsa-miR-451a MIMAT0001631"
"462",">hsa-miR-548ag MIMAT0018969"
"463",">hsa-miR-3194-3p MIMAT0019218"
"464",">hsa-miR-8076 MIMAT0031003"
