Cavin-1 Pellet,,,Average Cell,,PC3_Exosome_CAV1_23.3,PC3_Exosome_CAV1_4.3,PC3_Exosome_CAV1_6.3,
1.191441,0,0,0.397147,hsa-miR-3118-3-3p,0,13.8586045,24.74840399,12.86900283
1.191441,0,0,0.397147,hsa-miR-362-3p,0,5.5434418,0.951861692,2.165101164
1.191441,0,0,0.397147,hsa-miR-3180-4-5p,4.458738091,0.55434418,2.379654229,2.4642455
1.191441,0,0,0.397147,hsa-miR-4458-5p,0,4.98909762,9.042686072,4.677261231
1.191441,0,0,0.397147,hsa-miR-3074-3p,0,1.10868836,0,0.369562787
1.191441,0,0,0.397147,hsa-miR-7851-3p,1.48624603,6.65213016,4.759308459,4.299228216
1.191441,0,0,0.397147,hsa-miR-1254-2-3p,0,0.55434418,0,0.184781393
1.191441,0,0,0.397147,hsa-miR-550a-2-3p,1.48624603,8.3151627,4.283377613,4.694928781
0,2.263278,0,0.754426,hsa-miR-6764-5p,0,0.55434418,0,0.184781393
0,2.263278,0,0.754426,hsa-miR-136-3p,1.48624603,0,0,0.495415343
0,2.263278,0,0.754426,hsa-miR-150-5p,1.48624603,0,0,0.495415343
0,2.263278,0,0.754426,hsa-miR-1914-5p,2.97249206,2.21737672,1.903723383,2.364530721
0,2.263278,0,0.754426,hsa-miR-3613-3p,1.48624603,3.32606508,2.855585075,2.555965395
0,2.263278,0,0.754426,hsa-miR-597-3p,0,8.3151627,11.89827115,6.737811283
0,2.263278,0,0.754426,hsa-miR-3139-5p,0,9.42385106,1.903723383,3.775858148
0,2.263278,0,0.754426,hsa-miR-1284-5p,0,3.88040926,3.331515921,2.40397506
0,2.263278,0,0.754426,hsa-miR-494-3p,11.88996824,0,0,3.963322747
0,2.263278,0,0.754426,hsa-miR-6882-5p,1.48624603,3.32606508,2.379654229,2.39732178
0,2.263278,0,0.754426,hsa-miR-4738-3p,5.944984121,1.66303254,1.903723383,3.170580015
0,2.263278,0,0.754426,hsa-miR-184-3p,5.944984121,5.5434418,9.994547763,7.160991228
2.382881,0,0,0.794293667,hsa-miR-3176-3p,4.458738091,16.07598122,9.994547763,10.17642236
2.382881,0,0,0.794293667,hsa-miR-4717-3p,1.48624603,0.55434418,0.475930846,0.838840352
2.382881,0,0,0.794293667,hsa-miR-3149-3p,0,1.66303254,4.759308459,2.140780333
2.382881,0,0,0.794293667,hsa-miR-219a-1-3p,7.431230151,13.8586045,17.13351045,12.8077817
2.382881,0,0,0.794293667,hsa-miR-641-3p,0,6.65213016,4.759308459,3.803812873
2.382881,0,0,0.794293667,hsa-miR-6758-3p,1.48624603,2.21737672,3.331515921,2.345046224
2.382881,0,0,0.794293667,hsa-miR-3654-3p,1.48624603,0,0.951861692,0.812702574
2.382881,0,0,0.794293667,hsa-miR-493-3p,1.48624603,0,0,0.495415343
2.382881,0,0,0.794293667,hsa-miR-4326-5p,1.48624603,28.27155318,37.59853682,22.45211201
2.382881,0,0,0.794293667,hsa-miR-579-5p,0,6.09778598,4.759308459,3.61903148
0,0,2.502538,0.834179333,hsa-miR-590-5p,0,8.86950688,2.855585075,3.908363985
0,0,2.502538,0.834179333,hsa-miR-1252-5p,0,3.88040926,0.951861692,1.610756984
0,0,2.502538,0.834179333,hsa-miR-942-3p,1.48624603,2.7717209,2.855585075,2.371184002
0,0,2.502538,0.834179333,hsa-miR-4511-5p,1.48624603,1.66303254,1.903723383,1.684333984
0,0,2.502538,0.834179333,hsa-miR-5684-5p,0,0,0,0
0,0,2.502538,0.834179333,hsa-miR-5588-5p,4.458738091,0.55434418,0,1.671027424
0,0,2.502538,0.834179333,hsa-miR-128-1-5p,1.48624603,12.74991614,12.37420199,8.870121387
0,0,2.502538,0.834179333,hsa-miR-219a-1-5p,0,7.76081852,2.855585075,3.538801198
0,0,2.502538,0.834179333,hsa-miR-3157-5p,0,4.98909762,1.427792538,2.138963386
0,0,2.502538,0.834179333,hsa-miR-4745-5p,0,0,0.475930846,0.158643615
0,0,2.502538,0.834179333,hsa-miR-580-3p,1.48624603,8.3151627,8.566755226,6.122721319
0,0,2.502538,0.834179333,hsa-miR-1269b-5p,0,14.41294868,23.32061145,12.57785338
0,0,2.502538,0.834179333,hsa-miR-488-3p,0,3.32606508,1.427792538,1.584619206
0,0,2.502538,0.834179333,hsa-miR-1257-5p,0,4.98909762,3.807446767,2.932181462
0,0,2.502538,0.834179333,hsa-miR-561-3p,0,1.10868836,0.951861692,0.686850017
0,0,2.502538,0.834179333,hsa-miR-142-3p,1.48624603,1.66303254,0,1.049759523
0,0,2.502538,0.834179333,hsa-miR-511-3p,0,0.55434418,0,0.184781393
0,0,2.502538,0.834179333,hsa-miR-3661-5p,0,5.5434418,12.85013284,6.131191547
0,0,2.502538,0.834179333,hsa-miR-409-5p,0,0,0.475930846,0.158643615
1.191441,2.263278,0,1.151573,hsa-miR-3127-3p,4.458738091,2.21737672,0,2.225371604
1.191441,2.263278,0,1.151573,hsa-miR-1271-5p,0,44.90187858,30.45957414,25.12048424
