"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CS","ENSG00000062485","CS","protein_coding",2327.203611,0.310257753,0.093935717,3.302873098,0.000956997,0.003876478
"CSF1","ENSG00000184371","CSF1","protein_coding",294.9705209,-1.207067358,0.117367506,-10.28451058,8.28e-25,6.09e-23
"CSRNP3","ENSG00000178662","CSRNP3","protein_coding",37.53750651,1.275157817,0.274867518,4.639172456,3.5e-06,2.57e-05
"CTDSP1","ENSG00000144579","CTDSP1","protein_coding",748.5115317,0.231045265,0.088330831,2.615680878,0.008904974,0.02675676
"CTDSPL","ENSG00000144677","CTDSPL","protein_coding",282.2288493,0.361762567,0.129874579,2.785476329,0.005344914,0.017207209
"CTTNBP2NL","ENSG00000143079","CTTNBP2NL","protein_coding",381.3800769,-0.312546914,0.114596951,-2.727358022,0.006384373,0.020060345
"CXADR","ENSG00000154639","CXADR","protein_coding",187.1929935,2.116060934,0.166615424,12.7002704,5.89e-37,9.42e-35
"CYB5R2","ENSG00000166394","CYB5R2","protein_coding",56.57831849,-0.793928542,0.213536771,-3.7179945,0.000200811,0.000969535
"CYB5R3","ENSG00000100243","CYB5R3","protein_coding",1297.671386,0.39916359,0.107156891,3.725038936,0.000195285,0.000945878
"CYBRD1","ENSG00000071967","CYBRD1","protein_coding",129.7438267,1.687939085,0.174439778,9.676342757,3.8e-22,2.29e-20
"CYFIP2","ENSG00000055163","CYFIP2","protein_coding",542.22064,-0.905156879,0.096347656,-9.394695407,5.74e-21,3.22e-19
"CYP2B6","ENSG00000197408","CYP2B6","protein_coding",8.434639195,-1.53021504,0.35950666,-4.2564303,2.08e-05,0.000129603
"CYP2S1","ENSG00000167600","CYP2S1","protein_coding",237.9147472,0.399966006,0.127823558,3.129047675,0.001753739,0.006558966
"CYP4F11","ENSG00000171903","CYP4F11","protein_coding",7.000574374,-0.828770875,0.364146869,-2.275924756,0.022850514,0.059238905
"CYP4V2","ENSG00000145476","CYP4V2","protein_coding",49.12884261,-1.441367586,0.217061874,-6.64035355,3.13e-11,5.51e-10
"DACT3","ENSG00000197380","DACT3","protein_coding",7.755056001,0.840125143,0.363381163,2.311966684,0.020779519,0.054688485
"DAG1","ENSG00000173402","DAG1","protein_coding",7461.009514,0.410609275,0.081824605,5.018163864,5.22e-07,4.62e-06
"DCAF10","ENSG00000122741","DCAF10","protein_coding",452.4626804,-0.863841223,0.107579914,-8.029763068,9.77e-16,3.16e-14
"DCAF4L1","ENSG00000182308","DCAF4L1","protein_coding",12.46389184,0.803646243,0.355192412,2.262565912,0.023662461,0.060963652
"DCAF8","ENSG00000132716","DCAF8","protein_coding",1051.889485,-0.254492541,0.109390769,-2.326453527,0.019994369,0.052948936
"DCBLD2","ENSG00000057019","DCBLD2","protein_coding",14032.85788,0.754366752,0.103436513,7.293041189,3.03e-13,7.3e-12
"DCLK1","ENSG00000133083","DCLK1","protein_coding",4.055415612,-0.92904982,0.361623004,-2.569111508,0.010195964,0.029953798
"DDR1","ENSG00000204580","DDR1","protein_coding",4530.355129,0.319121514,0.076413074,4.176268514,2.96e-05,0.000178141
"DEDD2","ENSG00000160570","DEDD2","protein_coding",162.1951755,-0.515094936,0.146634375,-3.512784332,0.000443437,0.001974361
"DENND1A","ENSG00000119522","DENND1A","protein_coding",316.2344453,-0.773099534,0.115206868,-6.710533385,1.94e-11,3.53e-10
